Fossil CH4 fraction as a proportion of total anthropogenic CH4 emissions,,,,
Original sources: ,RCP emissions database pik.potsdam.de/~mmalte/rcps,,,
,RCP database tntcat.iiasa.ac.at/RcpDb/,,,
Method: ,Linearly interpolate between decades. Years before 1850 and after 2100 are set equal to 1850 and 2100 respectively.,,,
Year,RCP3PD,RCP4.5,RCP6,RCP8.5
2250,0.13393557,0.25097575,0.16354547,0.38806306
2251,0.13393557,0.25097575,0.16354547,0.38806306
2252,0.13393557,0.25097575,0.16354547,0.38806306
2253,0.13393557,0.25097575,0.16354547,0.38806306
2254,0.13393557,0.25097575,0.16354547,0.38806306
2255,0.13393557,0.25097575,0.16354547,0.38806306
2256,0.13393557,0.25097575,0.16354547,0.38806306
2257,0.13393557,0.25097575,0.16354547,0.38806306
2258,0.13393557,0.25097575,0.16354547,0.38806306
2259,0.13393557,0.25097575,0.16354547,0.38806306
2260,0.13393557,0.25097575,0.16354547,0.38806306
2261,0.13393557,0.25097575,0.16354547,0.38806306
2262,0.13393557,0.25097575,0.16354547,0.38806306
2263,0.13393557,0.25097575,0.16354547,0.38806306
2264,0.13393557,0.25097575,0.16354547,0.38806306
2265,0.13393557,0.25097575,0.16354547,0.38806306
2266,0.13393557,0.25097575,0.16354547,0.38806306
2267,0.13393557,0.25097575,0.16354547,0.38806306
2268,0.13393557,0.25097575,0.16354547,0.38806306
2269,0.13393557,0.25097575,0.16354547,0.38806306
2270,0.13393557,0.25097575,0.16354547,0.38806306
2271,0.13393557,0.25097575,0.16354547,0.38806306
2272,0.13393557,0.25097575,0.16354547,0.38806306
2273,0.13393557,0.25097575,0.16354547,0.38806306
2274,0.13393557,0.25097575,0.16354547,0.38806306
2275,0.13393557,0.25097575,0.16354547,0.38806306
2276,0.13393557,0.25097575,0.16354547,0.38806306
2277,0.13393557,0.25097575,0.16354547,0.38806306
2278,0.13393557,0.25097575,0.16354547,0.38806306
2279,0.13393557,0.25097575,0.16354547,0.38806306
2280,0.13393557,0.25097575,0.16354547,0.38806306
2281,0.13393557,0.25097575,0.16354547,0.38806306
2282,0.13393557,0.25097575,0.16354547,0.38806306
2283,0.13393557,0.25097575,0.16354547,0.38806306
2284,0.13393557,0.25097575,0.16354547,0.38806306
2285,0.13393557,0.25097575,0.16354547,0.38806306
2286,0.13393557,0.25097575,0.16354547,0.38806306
2287,0.13393557,0.25097575,0.16354547,0.38806306
2288,0.13393557,0.25097575,0.16354547,0.38806306
2289,0.13393557,0.25097575,0.16354547,0.38806306
2290,0.13393557,0.25097575,0.16354547,0.38806306
2291,0.13393557,0.25097575,0.16354547,0.38806306
2292,0.13393557,0.25097575,0.16354547,0.38806306
2293,0.13393557,0.25097575,0.16354547,0.38806306
2294,0.13393557,0.25097575,0.16354547,0.38806306
2295,0.13393557,0.25097575,0.16354547,0.38806306
2296,0.13393557,0.25097575,0.16354547,0.38806306
2297,0.13393557,0.25097575,0.16354547,0.38806306
